"Object Label","Object Name","Field Label","Field Name","Namespace","Custom","Type","Calculated","Number of Rows","Number of Rows Populated","Percentage of Rows Populated"
"Account","Account","Account ID","Id","",False,"id",False,1021033,1021033,100.0
"Account","Account","Deleted","IsDeleted","",False,"boolean",False,1021033,1021033,100.0
"Account","Account","Master Record ID","MasterRecordId","",False,"reference",False,1021033,0,0.0
"Account","Account","Account Name","Name","",False,"string",False,1021033,1021033,100.0
"Account","Account","Account Type","Type","",False,"picklist",False,1021033,1020876,99.98462341569763
"Account","Account","Record Type ID","RecordTypeId","",False,"reference",False,1021033,1021029,99.99960823989038
"Account","Account","Parent Account ID","ParentId","",False,"reference",False,1021033,3580,0.3506252981049584
"Account","Account","Billing Street","BillingStreet","",False,"textarea",False,1021033,433063,42.41420208749375
"Account","Account","Billing City","BillingCity","",False,"string",False,1021033,443727,43.45863453972594
"Account","Account","Billing State/Province","BillingState","",False,"string",False,1021033,171533,16.79994672062509
"Account","Account","Billing Zip/Postal Code","BillingPostalCode","",False,"string",False,1021033,147124,14.409328591730139
"Account","Account","Billing Country","BillingCountry","",False,"string",False,1021033,1014806,99.39012744935766
"Account","Account","Billing State/Province Code","BillingStateCode","",False,"picklist",False,1021033,171533,16.79994672062509
"Account","Account","Billing Country Code","BillingCountryCode","",False,"picklist",False,1021033,1014806,99.39012744935766
"Account","Account","Billing Latitude","BillingLatitude","",False,"double",False,1021033,12213,1.196141554680407
"Account","Account","Billing Longitude","BillingLongitude","",False,"double",False,1021033,12213,1.196141554680407
"Account","Account","Billing Geocode Accuracy","BillingGeocodeAccuracy","",False,"picklist",False,1021033,0,0.0
"Account","Account","Billing Address","BillingAddress","",False,"address",False,1021033,1015572,99.46514951034884
"Account","Account","Shipping Street","ShippingStreet","",False,"textarea",False,1021033,2,0.00019588005480723934
"Account","Account","Shipping City","ShippingCity","",False,"string",False,1021033,2,0.00019588005480723934
"Account","Account","Shipping State/Province","ShippingState","",False,"string",False,1021033,2,0.00019588005480723934
"Account","Account","Shipping Zip/Postal Code","ShippingPostalCode","",False,"string",False,1021033,2,0.00019588005480723934
"Account","Account","Shipping Country","ShippingCountry","",False,"string",False,1021033,986962,96.66308532633127
"Account","Account","Shipping State/Province Code","ShippingStateCode","",False,"picklist",False,1021033,2,0.00019588005480723934
"Account","Account","Shipping Country Code","ShippingCountryCode","",False,"picklist",False,1021033,986962,96.66308532633127
"Account","Account","Shipping Latitude","ShippingLatitude","",False,"double",False,1021033,0,0.0
"Account","Account","Shipping Longitude","ShippingLongitude","",False,"double",False,1021033,0,0.0
"Account","Account","Shipping Geocode Accuracy","ShippingGeocodeAccuracy","",False,"picklist",False,1021033,0,0.0
"Account","Account","Shipping Address","ShippingAddress","",False,"address",False,1021033,986962,96.66308532633127
"Account","Account","Account Phone","Phone","",False,"phone",False,1021033,381973,37.410446087442814
"Account","Account","Account Fax","Fax","",False,"phone",False,1021033,1098,0.10753815008917439
"Account","Account","Account Number","AccountNumber","",False,"string",False,1021033,0,0.0
"Account","Account","Website","Website","",False,"url",False,1021033,128141,12.55013305152723
"Account","Account","Photo URL","PhotoUrl","",False,"url",False,1021033,1021033,100.0
"Account","Account","SIC Code","Sic","",False,"string",False,1021033,1,9.794002740361967e-05
"Account","Account","Vertical","Industry","",False,"picklist",False,1021033,169330,16.584184840254917
"Account","Account","Annual Budget","AnnualRevenue","",False,"currency",False,1021033,83714,8.198951454066616
"Account","Account","Employees","NumberOfEmployees","",False,"int",False,1021033,65522,6.417226475539968
"Account","Account","Ownership","Ownership","",False,"picklist",False,1021033,0,0.0
"Account","Account","Ticker Symbol","TickerSymbol","",False,"string",False,1021033,0,0.0
"Account","Account","Account Description","Description","",False,"textarea",False,1021033,272093,26.648795876333086
"Account","Account","Account Rating","Rating","",False,"picklist",False,1021033,9482,0.9286673398411218
"Account","Account","Account Site","Site","",False,"string",False,1021033,1,9.794002740361967e-05
"Account","Account","Account Currency","CurrencyIsoCode","",False,"picklist",False,1021033,1021033,100.0
"Account","Account","Owner ID","OwnerId","",False,"reference",False,1021033,1021033,100.0
"Account","Account","Created Date","CreatedDate","",False,"datetime",False,1021033,1021033,100.0
"Account","Account","Created By ID","CreatedById","",False,"reference",False,1021033,1021033,100.0
"Account","Account","Last Modified Date","LastModifiedDate","",False,"datetime",False,1021033,1021033,100.0
"Account","Account","Last Modified By ID","LastModifiedById","",False,"reference",False,1021033,1021033,100.0
"Account","Account","System Modstamp","SystemModstamp","",False,"datetime",False,1021033,1021033,100.0
